B_T,Rxy_he2
3.827717827013726648e+00,9.488730748339293530e-01
3.840347898991469222e+00,9.544350850283800369e-01
3.852977970969211796e+00,9.604735894178960676e-01
3.865608042946954370e+00,9.667685305937887552e-01
3.878238114924696944e+00,9.730998511473700763e-01
3.890868186902439518e+00,9.792474936699513410e-01
3.903498258880182981e+00,9.849914007528447479e-01
3.916128330857925555e+00,9.901115149873614962e-01
3.928758402835668129e+00,9.943877789648128962e-01
3.941388474813410703e+00,9.976001352765115904e-01
3.954018546791153277e+00,9.995285265137682229e-01
3.966648618768895851e+00,1.000000000000000000e+00
3.979278690746638425e+00,1.000000000000000000e+00
3.991908762724381887e+00,1.000000000000000000e+00
4.004538834702124461e+00,1.000000000000000000e+00
4.017168906679867035e+00,1.000000000000000000e+00
4.029798978657609609e+00,1.000000000000000000e+00
4.042429050635352183e+00,1.000000000000000000e+00
4.055059122613094758e+00,1.000000000000000000e+00
4.067689194590837332e+00,1.000000000000000000e+00
4.080319266568580794e+00,1.000000000000000000e+00
4.092949338546323368e+00,1.000000000000000000e+00
4.105579410524065942e+00,1.000000000000000000e+00
4.118209482501808516e+00,1.000000000000000000e+00
4.130839554479551090e+00,1.000000000000000000e+00
4.143469626457293664e+00,1.000000000000000000e+00
4.156099698435036238e+00,1.000000000000000000e+00
4.168729770412779700e+00,1.000000000000000000e+00
4.181359842390522275e+00,1.000000000000000000e+00
4.193989914368264849e+00,1.000000000000000000e+00
4.206619986346007423e+00,1.000000000000000000e+00
4.219250058323749997e+00,1.000000000000000000e+00
4.231880130301492571e+00,1.000000000000000000e+00
4.244510202279235145e+00,1.000000000000000000e+00
4.257140274256978607e+00,1.000000000000000000e+00
4.269770346234721181e+00,1.000000000000000000e+00
4.282400418212463755e+00,1.000000000000000000e+00
4.295030490190206329e+00,1.000000000000000000e+00
4.307660562167948903e+00,1.000000000000000000e+00
4.320290634145691477e+00,1.001508435374989681e+00
4.332920706123434051e+00,1.006156119734098242e+00
4.345550778101177514e+00,1.013451650796690640e+00
4.358180850078920088e+00,1.022895740786757157e+00
4.370810922056662662e+00,1.033989101928289633e+00
4.383440994034405236e+00,1.046232446445279685e+00
4.396071066012147810e+00,1.059126486561719149e+00
4.408701137989890384e+00,1.072171934501598978e+00
4.421331209967633846e+00,1.084869502488910786e+00
4.433961281945376420e+00,1.096719902747647080e+00
4.446591353923118994e+00,1.107223847501797698e+00
4.459221425900861568e+00,1.115882048975354701e+00
4.471851497878605031e+00,1.122195219392310150e+00
4.484481569856347605e+00,1.125785936257138742e+00
4.497111641834090179e+00,1.128433933602134731e+00
4.509741713811832753e+00,1.130887708857099216e+00
4.522371785789576215e+00,1.133156986307463754e+00
4.535001857767318789e+00,1.135251490238660121e+00
4.547631929745061363e+00,1.137180944936120541e+00
4.560262001722803937e+00,1.138955074685276792e+00
4.572892073700546511e+00,1.140583603771561094e+00
4.585522145678289085e+00,1.142076256480404561e+00
4.598152217656031659e+00,1.143442757097239415e+00
4.610782289633775122e+00,1.144692829907497877e+00
4.623412361611517696e+00,1.145836199196611505e+00
4.636042433589260270e+00,1.146882589250012074e+00
4.648672505567002844e+00,1.147841724353131809e+00
4.661302577544745418e+00,1.148723328791402487e+00
4.673932649522487992e+00,1.149537126850255664e+00
4.686562721500230566e+00,1.150292842815123562e+00
4.699192793477974028e+00,1.151000200971438181e+00
4.711822865455716602e+00,1.151668925604631077e+00
4.724452937433459176e+00,1.152308741000134251e+00
4.737083009411201751e+00,1.152929371443379925e+00
4.749713081388944325e+00,1.153540541219799653e+00
4.762343153366686899e+00,1.154151974614824994e+00
4.774973225344429473e+00,1.154773395913888390e+00
4.787603297322172935e+00,1.155414529402421397e+00
4.800233369299915509e+00,1.156085099365856017e+00
4.812863441277658083e+00,1.156794830089624249e+00
4.825493513255400657e+00,1.157553445859157870e+00
4.838123585233143231e+00,1.158370670959888882e+00
4.850753657210885805e+00,1.159256229677248617e+00
4.863383729188628379e+00,1.160219846296669521e+00
4.876013801166371842e+00,1.161271245103583816e+00
4.888643873144114416e+00,1.162420150383422612e+00
4.901273945121856990e+00,1.163676286421617911e+00
4.913904017099599564e+00,1.165049377503601935e+00
4.926534089077342138e+00,1.166549147914806683e+00
4.939164161055084712e+00,1.168185321940663490e+00
4.951794233032827286e+00,1.169967623866604356e+00
4.964424305010570748e+00,1.171905777978061725e+00
4.977054376988313322e+00,1.174009508560466930e+00
4.989684448966055896e+00,1.176288539899251973e+00
5.002314520943798470e+00,1.178752596279848852e+00
5.014944592921541044e+00,1.181411401987689569e+00
5.027574664899283619e+00,1.184274681308205679e+00
5.040204736877026193e+00,1.187352158526829182e+00
5.052834808854769655e+00,1.195218956564464641e+00
5.065464880832512229e+00,1.210250613009925758e+00
5.078094952810254803e+00,1.227601146563494838e+00
5.090725024787997377e+00,1.242412075543969152e+00
5.103355096765739951e+00,1.249824918270145524e+00
5.115985168743482525e+00,1.250000000000000000e+00
5.128615240721225099e+00,1.250000000000000000e+00
5.141245312698968561e+00,1.250000000000000000e+00
5.153875384676711136e+00,1.250000000000000000e+00
5.166505456654453710e+00,1.250000000000000000e+00
5.179135528632196284e+00,1.250000000000000000e+00
5.191765600609938858e+00,1.250000000000000000e+00
5.204395672587681432e+00,1.250000000000000000e+00
5.217025744565424006e+00,1.250000000000000000e+00
5.229655816543167468e+00,1.250000000000000000e+00
5.242285888520910042e+00,1.254513169981877896e+00
5.254915960498652616e+00,1.277881302577144051e+00
5.267546032476395190e+00,1.311946960467393897e+00
5.280176104454137764e+00,1.346197909467470311e+00
5.292806176431880338e+00,1.370121915392215062e+00
5.305436248409622912e+00,1.376374606848630444e+00
5.318066320387366375e+00,1.379128196323225586e+00
5.330696392365108949e+00,1.381714243426196864e+00
5.343326464342851523e+00,1.384138874890894266e+00
5.355956536320594097e+00,1.386408217450667113e+00
5.368586608298337559e+00,1.388528397838864947e+00
5.381216680276080133e+00,1.390505542788836868e+00
5.393846752253822707e+00,1.392345779033932862e+00
5.406476824231565281e+00,1.394055233307502251e+00
5.419106896209308744e+00,1.395640032342894354e+00
5.431736968187051318e+00,1.397106302873458938e+00
5.444367040164793892e+00,1.398460171632545546e+00
5.456997112142536466e+00,1.399707765353502831e+00
5.469627184120279040e+00,1.400855210769681447e+00
5.482257256098021614e+00,1.401908634614430271e+00
5.494887328075765076e+00,1.402874163621098624e+00
5.507517400053507650e+00,1.403757924523036493e+00
5.520147472031250224e+00,1.404566044053593199e+00
5.532777544008992798e+00,1.405304648946118062e+00
5.545407615986735372e+00,1.405979865933960626e+00
5.558037687964477946e+00,1.406597821750470656e+00
5.570667759942220520e+00,1.407164643128997028e+00
5.583297831919963983e+00,1.407686456802889952e+00
5.595927903897706557e+00,1.408169389505498303e+00
5.608557975875449131e+00,1.408619567970172071e+00
5.621188047853191705e+00,1.409043118930260352e+00
5.633818119830934279e+00,1.409446169119112913e+00
5.646448191808676853e+00,1.409834845270079073e+00
5.659078263786419427e+00,1.410215274116508377e+00
5.671708335764162889e+00,1.410593582391750145e+00
5.684338407741905463e+00,1.410975896829154363e+00
5.696968479719648037e+00,1.411368344162070132e+00
5.709598551697390612e+00,1.411777051123846993e+00
5.722228623675133186e+00,1.412208144447834268e+00
5.734858695652875760e+00,1.412667750867381722e+00
5.747488767630618334e+00,1.413161997115838897e+00
5.760118839608361796e+00,1.413697009926554893e+00
5.772748911586104370e+00,1.414278916032879696e+00
5.785378983563846944e+00,1.414913842168162406e+00
5.798009055541589518e+00,1.415607915065752787e+00
5.810639127519332092e+00,1.416367261458999938e+00
5.823269199497074666e+00,1.417198008081253624e+00
5.835899271474817240e+00,1.418106281665863166e+00
5.848529343452560703e+00,1.419098208946178552e+00
5.861159415430303277e+00,1.420179916655548880e+00
5.873789487408045851e+00,1.421357531527323470e+00
5.886419559385788425e+00,1.422637180294852088e+00
5.899049631363530999e+00,1.424024989691484278e+00
5.911679703341273573e+00,1.425527086450569358e+00
5.924309775319016147e+00,1.427149597305456652e+00
5.936939847296759609e+00,1.428898648989496145e+00
5.949569919274502183e+00,1.430780368236036937e+00
5.962199991252244757e+00,1.432800881778428570e+00
5.974830063229987331e+00,1.434966316350020588e+00
5.987460135207729905e+00,1.437282798684162533e+00
6.000090207185472480e+00,1.441227737787449614e+00
6.012720279163215054e+00,1.448261410454959375e+00
6.025350351140958516e+00,1.457390657969670267e+00
6.037980423118701090e+00,1.467606384881816828e+00
6.050610495096443664e+00,1.477899495741635594e+00
6.063240567074186238e+00,1.487260895099362212e+00
6.075870639051928812e+00,1.494681487505232109e+00
6.088500711029671386e+00,1.499152177509481376e+00
6.101130783007413960e+00,1.500000000000000000e+00
6.113760854985157422e+00,1.500000000000000000e+00
6.126390926962899997e+00,1.500000000000000000e+00
6.139020998940642571e+00,1.500000000000000000e+00
6.151651070918385145e+00,1.500000000000000000e+00
6.164281142896127719e+00,1.500000000000000000e+00
6.176911214873870293e+00,1.500000000000000000e+00
6.189541286851612867e+00,1.500000000000000000e+00
6.202171358829356329e+00,1.500000000000000000e+00
6.214801430807098903e+00,1.500000000000000000e+00
6.227431502784841477e+00,1.500000000000000000e+00
6.240061574762584051e+00,1.500000000000000000e+00
6.252691646740326625e+00,1.500000000000000000e+00
6.265321718718070088e+00,1.500000000000000000e+00
6.277951790695812662e+00,1.500000000000000000e+00
6.290581862673555236e+00,1.500000000000000000e+00
6.303211934651297810e+00,1.500000000000000000e+00
6.315842006629041272e+00,1.500296271341909682e+00
6.328472078606783846e+00,1.504801419458382750e+00
6.341102150584526420e+00,1.513678098369658942e+00
6.353732222562268994e+00,1.525565693105461751e+00
6.366362294540011568e+00,1.539103588695515779e+00
6.378992366517755030e+00,1.552931170169546071e+00
6.391622438495497605e+00,1.565687822557274789e+00
6.404252510473240179e+00,1.576012930888426755e+00
6.416882582450982753e+00,1.582545880192726129e+00
6.429512654428725327e+00,1.585600971761879752e+00
6.442142726406467901e+00,1.588224416214918611e+00
6.454772798384210475e+00,1.590559888521255960e+00
6.467402870361953937e+00,1.592631738669756380e+00
6.480032942339696511e+00,1.594464316649282232e+00
6.492663014317439085e+00,1.596081972448697872e+00
6.505293086295181659e+00,1.597509056056866772e+00
6.517923158272924233e+00,1.598769917462653289e+00
6.530553230250666807e+00,1.599888906654920229e+00
6.543183302228409381e+00,1.600890373622532392e+00
6.555813374206152844e+00,1.601798668354352584e+00
6.568443446183895418e+00,1.602638140839244940e+00
6.581073518161637992e+00,1.603433141066073153e+00
6.593703590139380566e+00,1.604208019023700693e+00
6.606333662117123140e+00,1.604987124700991696e+00
6.618963734094865714e+00,1.605794808086809633e+00
6.631593806072608288e+00,1.606655419170018195e+00
6.644223878050351750e+00,1.607593307939481297e+00
6.656853950028094324e+00,1.608632824384062632e+00
6.669484022005836898e+00,1.609798318492625668e+00
6.682114093983579473e+00,1.611114140254034544e+00
6.694744165961322047e+00,1.612604639657152505e+00
6.707374237939064621e+00,1.614294166690843468e+00
6.720004309916807195e+00,1.616207071343971347e+00
6.732634381894550657e+00,1.618367703605400054e+00
6.745264453872293231e+00,1.620800413463992395e+00
6.757894525850035805e+00,1.623529550908612951e+00
6.770524597827778379e+00,1.627381939185400528e+00
6.783154669805520953e+00,1.635964613221838837e+00
6.795784741783263527e+00,1.647149042319748569e+00
6.808414813761006101e+00,1.657905818422921618e+00
6.821044885738749564e+00,1.665205533475149213e+00
6.833674957716492138e+00,1.666666666666666741e+00
6.846305029694234712e+00,1.666666666666666741e+00
6.858935101671977286e+00,1.666666666666666741e+00
6.871565173649719860e+00,1.666666666666666741e+00
6.884195245627462434e+00,1.666666666666666741e+00
6.896825317605205008e+00,1.666666666666666741e+00
6.909455389582948470e+00,1.666666666666666741e+00
6.922085461560691932e+00,1.666666666666666741e+00
6.934715533538433618e+00,1.666666666666666741e+00
6.947345605516175304e+00,1.666666666666666741e+00
6.959975677493918766e+00,1.666753211968500459e+00
6.972605749471662229e+00,1.671306976169659064e+00
6.985235821449403915e+00,1.680679105598199774e+00
6.997865893427147377e+00,1.691941755713211260e+00
7.010495965404890839e+00,1.702167081973778417e+00
7.023126037382632525e+00,1.708429540124082768e+00
7.035756109360374211e+00,1.711515462339268545e+00
7.048386181338117673e+00,1.713941533219490276e+00
7.061016253315861135e+00,1.715865464235492910e+00
7.073646325293602821e+00,1.717444966858020727e+00
7.086276397271346283e+00,1.718837752557820009e+00
7.098906469249089746e+00,1.720201532805634814e+00
7.111536541226831432e+00,1.721694019072210535e+00
7.124166613204574006e+00,1.723472922828291898e+00
7.136796685182316580e+00,1.725695955544624960e+00
7.149426757160060042e+00,1.728520828691954003e+00
7.162056829137802616e+00,1.733638303895364885e+00
7.174686901115545190e+00,1.741792080538105747e+00
7.187316973093287764e+00,1.748534168780349507e+00
7.199947045071030338e+00,1.750000000000000000e+00
7.212577117048772912e+00,1.750000000000000000e+00
7.225207189026516374e+00,1.750000000000000000e+00
7.237837261004258949e+00,1.750000000000000000e+00
7.250467332982001523e+00,1.750000000000000000e+00
7.263097404959744985e+00,1.750000000000000000e+00
7.275727476937486671e+00,1.750000000000000000e+00
7.288357548915230133e+00,1.767999620592234589e+00
7.300987620892971819e+00,1.858394578400046404e+00
7.313617692870715281e+00,1.960108897633040970e+00
7.326247764848458743e+00,2.000355407871710067e+00
7.338877836826200429e+00,2.002681880669930248e+00
7.351507908803943891e+00,2.004948481951239536e+00
7.364137980781685577e+00,2.007156011554021013e+00
7.376768052759429040e+00,2.009305269316657316e+00
7.389398124737170725e+00,2.011397055077531970e+00
7.402028196714914188e+00,2.013432168675027167e+00
7.414658268692657650e+00,2.015411409947525989e+00
7.427288340670399336e+00,2.017335578733411072e+00
7.439918412648142798e+00,2.019205474871065498e+00
7.452548484625884484e+00,2.021021898198871458e+00
7.465178556603627946e+00,2.022785648555212479e+00
7.477808628581369632e+00,2.024497525778470308e+00
7.490438700559113094e+00,2.026158329707029804e+00
7.503068772536856557e+00,2.027768860179271826e+00
7.515698844514598242e+00,2.029329917033579456e+00
7.528328916492341705e+00,2.030842300108336218e+00
7.540958988470083391e+00,2.032306809241925194e+00
7.553589060447826853e+00,2.033724244272727688e+00
7.566219132425568539e+00,2.035095405039128114e+00
7.578849204403312001e+00,2.036421091379508663e+00
7.591479276381055463e+00,2.037702103132251530e+00
7.604109348358797149e+00,2.038939240135740683e+00
7.616739420336540611e+00,2.040133302228358314e+00
7.629369492314282297e+00,2.041285089248486617e+00
7.641999564292025759e+00,2.042395401034510005e+00
