B_T,Rxy_he2
10.80846,2.65470
10.81136,2.65541
10.81427,2.65609
10.81717,2.65676
10.82008,2.65742
10.82298,2.65807
10.82588,2.65873
10.82879,2.65937
10.83169,2.66001
10.83459,2.66062
10.83750,2.66121
10.84040,2.66179
10.84331,2.66233
10.84621,2.66285
10.84911,2.66333
10.85202,2.66378
10.85492,2.66422
10.85782,2.66464
10.86073,2.66506
10.86363,2.66547
10.86653,2.66588
10.86944,2.66630
10.87234,2.66672
10.87525,2.66714
10.87815,2.66756
10.88105,2.66799
10.88396,2.66844
10.88686,2.66892
10.88976,2.66943
10.89267,2.66997
10.89557,2.67053
10.89848,2.67110
10.90138,2.67166
10.90428,2.67218
10.90719,2.67267
10.91009,2.67312
10.91299,2.67355
10.91590,2.67396
10.91880,2.67438
10.92170,2.67482
10.92461,2.67527
10.92751,2.67575
10.93042,2.67623
10.93332,2.67672
10.93622,2.67720
10.93913,2.67766
10.94203,2.67812
10.94493,2.67859
10.94784,2.67907
10.95074,2.67957
10.95365,2.68009
10.95655,2.68064
10.95945,2.68121
10.96236,2.68179
10.96526,2.68236
10.96816,2.68291
10.97107,2.68345
10.97397,2.68397
10.97687,2.68445
10.97978,2.68493
10.98268,2.68540
10.98559,2.68589
10.98849,2.68638
10.99139,2.68688
10.99430,2.68740
10.99720,2.68796
11.00010,2.68853
11.00301,2.68910
11.00591,2.68966
11.00882,2.69022
11.01172,2.69077
11.01462,2.69133
11.01753,2.69188
11.02043,2.69242
11.02333,2.69296
11.02624,2.69351
11.02914,2.69406
11.03204,2.69462
11.03495,2.69518
11.03785,2.69573
11.04076,2.69627
11.04366,2.69681
11.04656,2.69733
11.04947,2.69785
11.05237,2.69839
11.05527,2.69895
11.05818,2.69953
11.06108,2.70016
11.06398,2.70083
11.06689,2.70157
11.06979,2.70237
11.07270,2.70321
11.07560,2.70408
11.07850,2.70499
11.08141,2.70593
11.08431,2.70689
11.08721,2.70789
11.09012,2.70893
11.09302,2.71002
11.09593,2.71116
11.09883,2.71233
11.10173,2.71352
11.10464,2.71469
11.10754,2.71585
11.11044,2.71696
11.11335,2.71800
11.11625,2.71900
11.11915,2.71999
11.12206,2.72097
11.12496,2.72197
11.12787,2.72301
11.13077,2.72412
11.13367,2.72528
11.13658,2.72648
11.13948,2.72771
11.14238,2.72897
11.14529,2.73024
11.14819,2.73149
11.15110,2.73272
11.15400,2.73391
11.15690,2.73506
11.15981,2.73616
11.16271,2.73717
11.16561,2.73811
11.16852,2.73898
11.17142,2.73978
11.17432,2.74050
11.17723,2.74115
11.18013,2.74172
11.18304,2.74222
11.18594,2.74267
11.18884,2.74306
11.19175,2.74343
11.19465,2.74378
11.19755,2.74414
11.20046,2.74453
11.20336,2.74496
11.20627,2.74543
11.20917,2.74594
11.21207,2.74649
11.21498,2.74706
11.21788,2.74764
11.22078,2.74822
11.22369,2.74881
11.22659,2.74941
11.22949,2.75000
11.23240,2.75060
11.23530,2.75122
11.23821,2.75186
11.24111,2.75253
11.24401,2.75324
11.24692,2.75396
11.24982,2.75469
11.25272,2.75541
11.25563,2.75611
11.25853,2.75681
11.26143,2.75750
11.26434,2.75819
11.26724,2.75888
11.27015,2.75961
11.27305,2.76038
11.27595,2.76117
11.27886,2.76198
11.28176,2.76279
11.28466,2.76360
11.28757,2.76440
11.29047,2.76520
11.29338,2.76599
11.29628,2.76679
11.29918,2.76761
11.30209,2.76845
11.30499,2.76932
11.30789,2.77021
11.31080,2.77111
11.31370,2.77202
11.31660,2.77292
11.31951,2.77382
11.32241,2.77469
11.32532,2.77551
11.32822,2.77630
11.33112,2.77704
11.33403,2.77774
11.33693,2.77841
11.33983,2.77906
11.34274,2.77971
11.34564,2.78036
11.34855,2.78104
11.35145,2.78172
11.35435,2.78243
11.35726,2.78319
11.36016,2.78398
11.36306,2.78482
11.36597,2.78569
11.36887,2.78660
11.37177,2.78753
11.37468,2.78847
11.37758,2.78941
11.38049,2.79032
11.38339,2.79121
11.38629,2.79208
11.38920,2.79293
11.39210,2.79375
11.39500,2.79455
11.39791,2.79534
11.40081,2.79613
11.40372,2.79694
11.40662,2.79776
11.40952,2.79859
11.41243,2.79944
11.41533,2.80033
11.41823,2.80125
11.42114,2.80217
11.42404,2.80308
11.42694,2.80398
11.42985,2.80489
11.43275,2.80580
11.43566,2.80670
11.43856,2.80759
11.44146,2.80845
11.44437,2.80931
11.44727,2.81014
11.45017,2.81096
11.45308,2.81175
11.45598,2.81254
11.45889,2.81331
11.46179,2.81409
11.46469,2.81487
11.46760,2.81566
11.47050,2.81647
11.47340,2.81731
11.47631,2.81816
11.47921,2.81903
11.48211,2.81994
11.48502,2.82088
11.48792,2.82184
11.49083,2.82282
11.49373,2.82380
11.49663,2.82480
11.49954,2.82580
11.50244,2.82679
11.50534,2.82776
11.50825,2.82874
11.51115,2.82971
11.51405,2.83067
11.51696,2.83160
11.51986,2.83253
11.52277,2.83343
11.52567,2.83430
11.52857,2.83513
11.53148,2.83593
11.53438,2.83669
11.53728,2.83742
11.54019,2.83812
11.54309,2.83879
11.54600,2.83946
11.54890,2.84014
11.55180,2.84084
11.55471,2.84155
11.55761,2.84230
11.56051,2.84307
11.56342,2.84386
11.56632,2.84466
11.56922,2.84547
11.57213,2.84630
11.57503,2.84713
11.57794,2.84797
11.58084,2.84881
11.58374,2.84965
11.58665,2.85049
11.58955,2.85133
11.59245,2.85216
11.59536,2.85297
11.59826,2.85378
11.60117,2.85460
11.60407,2.85544
11.60697,2.85630
11.60988,2.85718
11.61278,2.85808
11.61568,2.85901
11.61859,2.85997
11.62149,2.86095
11.62439,2.86193
11.62730,2.86292
11.63020,2.86391
11.63311,2.86491
11.63601,2.86591
11.63891,2.86689
11.64182,2.86787
11.64472,2.86883
11.64762,2.86977
11.65053,2.87069
11.65343,2.87159
11.65634,2.87245
11.65924,2.87331
11.66214,2.87420
11.66505,2.87514
11.66795,2.87614
11.67085,2.87722
11.67376,2.87837
11.67666,2.87960
11.67956,2.88091
11.68247,2.88226
11.68537,2.88364
11.68828,2.88503
11.69118,2.88644
11.69408,2.88786
11.69699,2.88926
11.69989,2.89061
11.70279,2.89194
11.70570,2.89324
11.70860,2.89450
11.71150,2.89572
11.71441,2.89691
11.71731,2.89809
11.72022,2.89929
11.72312,2.90055
11.72602,2.90188
11.72893,2.90329
11.73183,2.90480
11.73473,2.90640
11.73764,2.90808
11.74054,2.90983
11.74345,2.91163
11.74635,2.91346
11.74925,2.91527
11.75216,2.91708
11.75506,2.91889
11.75796,2.92069
11.76087,2.92245
11.76377,2.92416
11.76667,2.92585
11.76958,2.92752
11.77248,2.92915
11.77539,2.93074
11.77829,2.93230
11.78119,2.93384
11.78410,2.93538
11.78700,2.93690
11.78990,2.93843
11.79281,2.93998
11.79571,2.94153
11.79862,2.94310
11.80152,2.94467
11.80442,2.94622
11.80733,2.94775
11.81023,2.94926
11.81313,2.95073
11.81604,2.95217
11.81894,2.95360
11.82184,2.95501
11.82475,2.95642
